La Défense (Grande Arche);
Esplanade de la Défense;
Pont de Neuilly;
Les Sablons (Jardin d'acclimatation);
Porte Maillot;
Argentine;
Charles de Gaulle-Etoile;
George V;
Franklin-Roosevelt;
Champs-Elysées-Clémenceau;
Concorde;
Tuileries;
Palais-Royal (Musée du Louvre);
Louvre-Rivoli;
Châtelet;
Hôtel de Ville;
Saint-Paul (Le Marais);
Bastille;
Gare de Lyon;
Reuilly-Diderot;
Nation;
Porte de Vincennes;
Saint-Mandé;
Bérault;
Château de Vincennes;
Porte Dauphine (Maréchal de Lattre de Tassigny);
Victor Hugo;
Ternes;
Courcelles;
Monceau;
Villiers;
Rome;
Place de Clichy;
Blanche;
Pigalle;
Anvers;
Barbès-Rochechouart;
La Chapelle;
Stalingrad;
Jaurès;
Colonel Fabien;
Belleville;
Couronnes;
Ménilmontant;
Père-Lachaise;
Philippe Auguste;
Alexandre-Dumas;
Avron;
Gallieni (Parc de Bagnolet);
Porte de Bagnolet;
Gambetta;
Rue Saint-Maur;
Parmentier;
République;
Temple;
Arts-et-Métiers;
Réaumur-Sébastopol;
Sentier;
Bourse;
Quatre Septembre;
Opéra;
Havre-Caumartin;
Saint-Lazare;
Europe;
Malesherbes;
Wagram;
Péreire;
Porte de Champerret;
Louise Michel;
Anatole-France;
Pont de Levallois-Bécon;
Porte des Lilas;
Saint-Fargeau;
Pelleport;
Porte d'Orléans (Général Leclerc);
Alésia;
Mouton-Duvernet;
Denfert-Rochereau;
Raspail;
Vavin;
Montparnasse-Bienvenue;
Saint-Placide;
Saint-Sulpice;
Saint-Germain des Prés;
Odéon;
Saint-Michel;
Cité;
Les Halles;
Etienne Marcel;
Strasbourg-Saint-Denis;
Château d'Eau;
Gare de l'Est (Verdun);
Gare du Nord;
Château Rouge;
Marcadet-Poissonniers;
Simplon;
Porte de Clignancourt;
Bobigny-Pablo-Picasso;
Bobigny-Pantin (Raymond Queneau);
Eglise de Pantin;
Hoche;
Porte de Pantin;
Ourcq;
Laumière;
Jacques-Bonsergent;
Oberkampf;
Richard-Lenoir;
Bréguet-Sabin;
Quai de la Rapée;
Gare d'Austerlitz;
Saint-Marcel;
Campo-Formio;
Place d'Italie;
Kléber;
Boissière;
Trocadéro;
Passy;
Bir-Hakeim (Grenelle);
Dupleix;
La Motte-Picquet-Grenelle;
Cambronne;
Sèvres-Lecourbe;
Pasteur;
Edgar-Quinet;
Saint-Jacques;
Glacière;
Corvisart;
Nationale;
Chevaleret;
Quai de la Gare;
Bercy;
Dugommier;
Daumesnil (Félix Eboué);
Bel-Air;
Picpus;
La Courneuve-8-Mai-1945;
Fort d'Aubervilliers;
Aubervilliers Pantin (4 Chemins);
Porte de la Villette;
Corentin-Cariou;
Crimée;
Riquet;
Louis Blanc;
Château Landon;
Poissonnière;
Cadet;
Le Peletier;
Chaussée d'Antin (La Fayette);
Pyramides;
Pont Neuf;
Pont Marie (Cité des Arts);
Sully-Morland;
Jussieu;
Place Monge (Jardin des Plantes);
Censier-Daubenton;
Les Gobelins;
Tolbiac;
Maison Blanche;
Porte d'Italie;
Porte de Choisy;
Porte d'Ivry;
Pierre et Marie Curie;
Mairie d'Ivry;
Le Kremlin-Bicêtre;
Villejuif-Léo Lagrange;
Villejuif-Paul Vaillant Couturier (Hôpital Paul Brousse);
Villejuif-Louis Aragon;
Bolivar;
Buttes-Chaumont;
Botzaris;
Danube;
Pré-Saint-Gervais;
Place des Fêtes;
Pointe du Lac;
Créteil-Préfecture (Hôtel de Ville);
Créteil-Université;
Créteil-L'Echat (Hôpital Henri Mondor);
Maisons-Alfort-Les Juilliottes;
Maisons-Alfort-Stade;
Ecole Vétérinaire de Maisons-Alfort;
Charenton-Ecoles;
Liberté;
Porte de Charenton;
Porte Dorée;
Michel Bizot;
Montgallet;
Faidherbe-Chaligny;
Ledru-Rollin;
Chemin Vert;
Saint-Sébastien-Froissart;
Filles du Calvaire;
Bonne Nouvelle;
Grands Boulevards;
Richelieu-Drouot;
Madeleine;
